sentence_id,sentence,word,label,prediction
1,Puno hvala from Deutschland,Puno,BS,BS
1,Puno hvala from Deutschland,hvala,BS,BS
1,Puno hvala from Deutschland,from,O,O
1,Puno hvala from Deutschland,Deutschland,DE,DE
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",Ne,BS,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",znam,BS,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",koliko,BS,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",ce,BS,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",ti,BS,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",bit,BS,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",uspjesno,BS,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",dobit,BS,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",vizu,BS,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",za,BS,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",Njemacku,BS,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",uzet,BS,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",u,BS,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",obzir,BS,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",da,BS,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",je,BS,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",ovdje,BS,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",Ausländerbehörde,DE,DE
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",u,BS,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",rasulu,BS,BS
3,"Ich komme kasnije kući, [NAME] me zadržao na poslu.",Ich,DE,DE
3,"Ich komme kasnije kući, [NAME] me zadržao na poslu.",komme,DE,DE
3,"Ich komme kasnije kući, [NAME] me zadržao na poslu.",kasnije,BS,BS
