sentence_id,sentence,word,label
1,Puno hvala from Deutschland,Puno,BS
1,Puno hvala from Deutschland,hvala,BS
1,Puno hvala from Deutschland,from,O
1,Puno hvala from Deutschland,Deutschland,DE
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",Ne,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",znam,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",koliko,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",ce,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",ti,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",bit,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",uspjesno,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",dobit,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",vizu,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",za,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",Njemacku,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",uzet,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",u,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",obzir,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",da,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",je,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",ovdje,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",Ausländerbehörde,DE
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",u,BS
2,"Ne znam koliko ce ti bit uspjesno dobit vizu za Njemacku, uzet u obzir da je ovdje Ausländerbehörde u rasulu.",rasulu,BS
3,"Ich komme kasnije kući, [NAME] me zadržao na poslu.",Ich,DE
3,"Ich komme kasnije kući, [NAME] me zadržao na poslu.",komme,DE
3,"Ich komme kasnije kući, [NAME] me zadržao na poslu.",kasnije,BS
3,"Ich komme kasnije kući, [NAME] me zadržao na poslu.",kući,BS
3,"Ich komme kasnije kući, [NAME] me zadržao na poslu.",[NAME],O
3,"Ich komme kasnije kući, [NAME] me zadržao na poslu.",me,BS
3,"Ich komme kasnije kući, [NAME] me zadržao na poslu.",zadržao,BS
3,"Ich komme kasnije kući, [NAME] me zadržao na poslu.",na,BS
3,"Ich komme kasnije kući, [NAME] me zadržao na poslu.",poslu,BS
4,Jel možeš kupiti Brot kad ideš iz Arbeit?,Jel,BS
4,Jel možeš kupiti Brot kad ideš iz Arbeit?,možeš,BS
4,Jel možeš kupiti Brot kad ideš iz Arbeit?,kupiti,BS
4,Jel možeš kupiti Brot kad ideš iz Arbeit?,Brot,DE
4,Jel možeš kupiti Brot kad ideš iz Arbeit?,kad,BS
4,Jel možeš kupiti Brot kad ideš iz Arbeit?,ideš,BS
4,Jel možeš kupiti Brot kad ideš iz Arbeit?,iz,BS
4,Jel možeš kupiti Brot kad ideš iz Arbeit?,Arbeit,DE
5,"[NAME] je rekao da će doći oko 18h, aber nisam sigurna.",[NAME],O
5,"[NAME] je rekao da će doći oko 18h, aber nisam sigurna.",je,BS
5,"[NAME] je rekao da će doći oko 18h, aber nisam sigurna.",rekao,BS
5,"[NAME] je rekao da će doći oko 18h, aber nisam sigurna.",da,BS
5,"[NAME] je rekao da će doći oko 18h, aber nisam sigurna.",će,BS
5,"[NAME] je rekao da će doći oko 18h, aber nisam sigurna.",doći,BS
5,"[NAME] je rekao da će doći oko 18h, aber nisam sigurna.",oko,BS
5,"[NAME] je rekao da će doći oko 18h, aber nisam sigurna.",18h,O
5,"[NAME] je rekao da će doći oko 18h, aber nisam sigurna.",aber,DE
5,"[NAME] je rekao da će doći oko 18h, aber nisam sigurna.",nisam,BS
5,"[NAME] je rekao da će doći oko 18h, aber nisam sigurna.",sigurna,BS
6,"Moram morgen früh aufstehen, imamo Termin kod doktora.",Moram,BS
6,"Moram morgen früh aufstehen, imamo Termin kod doktora.",morgen,DE
6,"Moram morgen früh aufstehen, imamo Termin kod doktora.",früh,DE
